No;Brand;Phone Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Misc_SAREU;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
11;Xiaomi;Xiaomi Redmi 13x;https://www.gsmarena.com/xiaomi_redmi_13x_4g-13764.php;N/A;N/A;33W wired;5030 mAh;IP53 dust protected and water resistant (vertical water sprays);Glass front, plastic frame, glass back;168.6 x 76.3 x 8.3 mm (6.64 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;205 g (7.23 oz);5.4, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio;USB Type-C;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass;1080 x 2460 pixels (~396 ppi density);6.79 inches, 109.5 cm2 (~85.1% screen-to-body ratio);IPS LCD, 90Hz, 550 nits (HBM);Virtual proximity sensing;Fingerprint (side-mounted), accelerometer, compass;2025, March 28;Available. Released 2025, March 28;"108 MP, f/1.8, (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (macro)";LED flash, HDR;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM;Black, Blue, Gold;N/A;About 150 EUR;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;LTE;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek Helio G91 Ultra (12 nm);Mali-G52 MC2;Android 14, HyperOS;HDR;13 MP, f/2.5, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
12;Xiaomi;Xiaomi Poco X3 Pro;https://www.gsmarena.com/xiaomi_poco_x3_pro-10802.php;N/A;N/A;33W wired, 59% in 30 min, 100% in 59 min;Li-Po 5160 mAh;"IP53 dust protected and water resistant
(vertical water sprays)";Glass front (Gorilla Glass 6), plastic back;165.3 x 76.8 x 9.4 mm (6.51 x 3.02 x 0.37 in);Nano-SIM + Nano-SIM;215 g (7.58 oz);5.0, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS;FM radio, recording;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 6;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~84.6% screen-to-body ratio);IPS LCD, 120Hz, 2404Hz PWM, HDR10, 450 nits (typ);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2021, March 22;Available. Released 2021, March 24;N/A;Dual-LED flash, HDR, panorama;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 119˚ (ultrawide), 1.0µm
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";N/A;N/A;4K@30fps, 1080p@30/60/120/240fps, 1080p@960fps, gyro-EIS;UFS 3.1;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;Phantom Black, Frost Blue, Metal Bronze;M2102J20SG, M2102J20SI;$ 290.00 / € 204.28 / £ 249.99 / ₹ 10,999;0.99 W/kg (head)     0.67 W/kg (body);0.57 W/kg (head)     0.90 W/kg (body);1, 2, 3, 5, 8, 38, 40, 41 - India;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41 - International;N/A;HSPA, LTE (CA);GSM / HSPA / LTE;Octa-core (1x2.96 GHz Kryo 485 Gold & 3x2.42 GHz Kryo 485 Gold & 4x1.78 GHz Kryo 485 Silver);Qualcomm Snapdragon 860 (7 nm);Adreno 640;Android 11, upgradable to Android 12, MIUI 13 for POCO;HDR, panorama;"20 MP, f/2.2, (wide), 1/3.4"", 0.8µm";1080p@30fps;24-bit/192kHz Hi-Res audio;Yes;Yes, with stereo speakers;N/A;N/A;Endurance rating 112h;Photo / Video;Contrast ratio: 1401:1 (nominal);-26.1 LUFS (Good);"AnTuTu: 453223 (v8)
GeekBench: 2574 (v5.1)
GFXBench: 38fps (ES 3.1 onscreen)"
13;Xiaomi;Xiaomi Poco X7 Pro;https://www.gsmarena.com/xiaomi_poco_x7_pro-13582.php;N/A;N/A;"90W wired, PD3.0, QC3+, 100% in 42 min
Reverse wired";Si/C Li-Ion 6000 mAh (Global)Si/C Li-Ion 6550 mAh (India only);"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
Manufacturer-rated water-resistance (up to 2m for 48 h) - India only
IP69 (market/region dependent)";Glass front (Gorilla Glass 7i), plastic back, silicone polymer back (eco leather);160.8 x 75.2 x 8.3 mm (6.33 x 2.96 x 0.33 in);Nano-SIM + Nano-SIM;195 g or 198 g (6.88 oz);5.4/6.0, A2DP, LE, aptX HD;Yes;Yes (market/region dependent);GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), NavIC (L5);No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 7i;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~88.8% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, HDR10+, 1400 nits (HBM), 3200 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, January 09;Available. Released 2025, January 09;"50 MP, f/1.5, 26mm (wide), 1/1.95"", 0.8µm, PDAF, OIS
8 MP, f/2.2, 15mm (ultrawide), 1/4.0"", 1.12µm";LED flash, HDR, panorama;N/A;N/A;N/A;4K@24/30/60fps, 1080p@30/60/120/240/960fps, HDR10+, gyro-EIS, OIS;UFS 4.0;No;256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Black/Yellow, White, Green, Red (Iron Man Edition);2412DPC0AG, 2412DPC0AI;$ 326.90 / € 261.00 / £ 239.00 / ₹ 23,949;1.09 W/kg (head)     1.08 W/kg (body);0.99 W/kg (head)     0.99 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 38, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78 SA/NSA/Sub6;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (1x3.25 GHz Cortex-A725 & 3x3.0 GHz Cortex-A725 & 4x2.1 GHz Cortex-A725);Mediatek Dimensity 8400 Ultra (4 nm);Mali-G720 MC7;Android 15, HyperOS 2;N/A;"20 MP, f/2.2, 25mm (wide), 1/4.0"", 0.7µm";1080p@30fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers;N/A;Active use score 12:43h;N/A;N/A;1265 nits max brightness (measured);-24.7 LUFS (Very good);"AnTuTu: 1568331 (v10)
GeekBench: 6311 (v6)
3DMark: 3880 (Wild Life Extreme)"
14;Xiaomi;Xiaomi Mix Flip 2;https://www.gsmarena.com/xiaomi_mix_flip_2_5g-13980.php;N/A;N/A;"67W wired, PD3.0, QC4
50W wireless";Si/C Li-Ion 5165 mAh;N/A;N/A;Unfolded: 166.9 x 73.8 x 7.6 mmFolded: 86.1 x 73.8 x 15.9 mm;Nano-SIM + Nano-SIM;199 g (7.02 oz);5.4, A2DP, LE, aptX HD, aptX Adaptive, LHDC;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5), GLONASS;No;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;"Second external AMOLED, 68B colors, Dolby Vision, HDR10+, HDR Vivid, 120Hz, 1600 nits (HBM), 3200 nits (peak)
4 inches, 1392 x 1208 pixels, 460 ppi
Xiaomi Shield Glass";N/A;1224 x 2912 pixels (~460 ppi density);6.86 inches, 108.5 cm2 (~88.1% screen-to-body ratio);Foldable LTPO AMOLED, 1B colors, Dolby Vision, HDR10+, HDR Vivid, 120Hz, 3200 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass, barometer;2025, June 26;Available. Released 2025, June 26;"50 MP, f/1.7, 23mm (wide), 1/1.55"", 1.0µm, dual pixel PDAF, OIS
50 MP, f/2.2, 14mm, 115˚ (ultrawide), PDAF";Color spectrum sensor, LED flash, panorama, HDR, Leica lenses;N/A;N/A;N/A;8K@24fps, 4K@30/60fps, 1080p@30/60/120/240/960fps, Dolby Vision HDR;UFS 4.1;No;256GB 12GB RAM, 512GB 12GB RAM, 1TB 16GB RAM;hite, Purple, Green, Checkered Gold;2505APX7BC;About 720 EUR;N/A;N/A;CDMA2000 1x;GSM 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 17, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78, 80, 81, 83, 84, 89 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, HyperOS 2;Dolby Vision HDR;32 MP, f/2.0, 21mm (wide), 0.7µm;4K@30/60fps, 1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res Wireless audio;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
15;Xiaomi;Xiaomi Redmi Note 13 Pro;https://www.gsmarena.com/xiaomi_redmi_note_13_pro-12581.php;N/A;N/A;67W wired, PD3.0, 50% in 17 min, 100% in 44 min;Li-Po 5100 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass Victus), plastic frame, glass back;161.2 x 74.2 x 8 mm (6.35 x 2.92 x 0.31 in);Nano-SIM + eSIMNano-SIM + Nano-SIM;187 g (6.60 oz);5.2, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS (B1I+B1c), GALILEO, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass Victus;1220 x 2712 pixels, 20:9 ratio (~446 ppi density);6.67 inches, 107.4 cm2 (~89.8% screen-to-body ratio);AMOLED, 68B colors, 120Hz, 1920Hz PWM, Dolby Vision, 500 nits (typ), 1200 nits (HBM), 1800 nits (peak);Virtual proximity sensing;Fingerprint (under display, optical), accelerometer, gyro, compass;2023, September 21;Available. Released 2023, September 21;N/A;Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, multi-directional PDAF, OIS
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120fps, gyro-EIS;UFS 2.2;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM, 512GB 16GB RAM;Midnight Black, Aurora Purple (Coral Purple), Ocean Teal, Arctic White, Olive Green, Scarlet Red;2312DRA50C, 2312CRAD3C, 2312DRA50G, 2312DRA50I;$ 289.50 / € 242.54 / £ 234.99 / ₹ 26,990;1.09 W/kg (head)     1.03 W/kg (body);1.00 W/kg (head)     1.00 W/kg (body);1, 3, 5, 8, 28, 38, 41, 77, 78 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - International;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 40, 41, 66 - International;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78 SA/NSA - International;HSPA, LTE (CA), 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (4x2.40 GHz Cortex-A78 & 4x1.95 GHz Cortex-A55);Qualcomm SM7435-AB Snapdragon 7s Gen 2 (4 nm);Adreno 710;Android 13, up to 3 major Android upgrades, HyperOS;HDR, panorama;"16 MP, f/2.4, (wide), 1/3.06"", 1.0µm";1080p@30/60fps;24-bit/192kHz Hi-Res & Hi-Res wireless audio;Yes;Yes, with stereo speakers;N/A;Active use score 10:16h;N/A;Photo / Video;1331 nits max brightness (measured);-26.0 LUFS (Very good);"AnTuTu: 523746 (v9), 581979 (v10)
GeekBench: 2695 (v5), 2751 (v6)"
16;Xiaomi;Xiaomi 15;https://www.gsmarena.com/xiaomi_15-13472.php;N/A;N/A;"90W wired, PD3.0, QC3+
50W wireless
10W reverse wireless";Si/C Li-Ion 5240 mAh - GlobalSi/C Li-Ion 5400 mAh - China;IP68 dust tight and water resistant (immersible up to 1.5m for 30 min);Glass front (Xiaomi Shield Glass), aluminum alloy frame (6M42);152.3 x 71.2 x 8.1 / 8.4 / 8.5 mm;Nano-SIM + Nano-SIMNano-SIM + Nano-SIM + eSIM + eSIM (max 2 at a time);189 / 191 / 192 g (6.67 oz);5.4/6.0, A2DP, LE, aptX HD, aptX Adaptive, LHDC 5;Yes;Yes;GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5);No;USB Type-C 3.2, Display Port, OTG;Wi-Fi 802.11 a/b/g/n/ac/6e/7, dual-band or tri-band, Wi-Fi Direct;N/A;Xiaomi Shield Glass;1200 x 2670 pixels, 20:9 ratio (~460 ppi density);6.36 inches, 97.6 cm2 (~90.0% screen-to-body ratio);LTPO AMOLED, 68B colors, 1920Hz PWM, 120Hz, Dolby Vision, HDR10+, 3200 nits (peak);N/A;Fingerprint (under display, ultrasonic), accelerometer, proximity, gyro, compass, barometer;2024, October 29;Available. Released 2024, October 29;N/A;Laser AF, color spectrum sensor, Leica lens, Dual-LED dual-tone flash, HDR, panorama;N/A;N/A;"50 MP, f/1.6, 23mm (wide), 1/1.31"", 1.2µm, dual pixel PDAF, OIS
50 MP, f/2.0, 60mm (telephoto), 1/2.76"", 0.64µm, PDAF (10cm - ∞), OIS, 2.6x optical zoom
50 MP, f/2.2, 14mm, 115˚ (ultrawide), 1/2.76"", 0.64µm";8K@24/30fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/60/120/240/960fps, 720p@1920fps, gyro-EIS;UFS 4.0;No;256GB 12GB RAM, 256GB 16GB RAM, 512GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Black, White, Liquid Silver, Green, Lilac;24129PN74G, 24129PN74I, 24129PN74C;$ 637.10 / € 700.00 / £ 670.15 / ₹ 64,998;N/A;0.99 W/kg (head)     1.00 W/kg (body);1, 2, 3, 5, 12, 20, 26, 28, 38, 40, 41, 48, 66, 77, 78, 80, 81, 83, 84, 89 SA/NSA - China;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 25, 26, 28, 32, 38, 39, 40, 41, 42, 48, 66 - International;1, 2, 3, 5, 7, 8, 12, 20, 25, 26, 28, 38, 40, 41, 48, 66, 75, 77, 78 SA/NSA - International;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, up to 4 major Android upgrades, HyperOS 2;HDR, panorama;"32 MP, f/2.0, 21mm (wide), 1/3.14"", 0.7µm";4K@30/60fps, 1080p@30/60fps, HDR10+, gyro-EIS;"24-bit/192kHz Hi-Res & Hi-Res wireless audio
Qualcomm XPAN (24-bit/96kHz audio)";No;Yes, with stereo speakers;N/A;Active use score 16:28h;N/A;N/A;1517 nits max brightness (measured);-25.7 LUFS (Very good);"AnTuTu: 2534638 (v10)
GeekBench: 9419 (v6)
3DMark: 5980 (Wild Life Extreme)"
17;Xiaomi;Xiaomi Redmi Note 14 4G;https://www.gsmarena.com/xiaomi_redmi_note_14_4g_(global)-13616.php;N/A;N/A;33W wired, 55% in 44 min;5500 mAh;IP54 dust protected and water resistant (water splashes);Glass front (Gorilla Glass 5), plastic back, aluminum frame;163.3 x 76.6 x 8.2 mm (6.43 x 3.02 x 0.32 in);Nano-SIM + Nano-SIM;196.5 g (6.95 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~85.9% screen-to-body ratio);AMOLED, 120Hz, 960Hz PWM, 1200 nits (HBM), 1800 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, compass, proximity;2025, January 10;Available. Released 2025, January 15;N/A;LED flash, HDR, panorama;N/A;N/A;"108 MP, f/1.7, (wide), 1/1.67"", 0.64µm, PDAF
2 MP, f/2.4, (macro)
2 MP, f/2.4, (depth)";1080p@30/60fps;UFS 2.2;microSDXC (uses shared SIM slot);128GB 6GB RAM, 128GB 8GB RAM, 256GB 6GB RAM, 256GB 8GB RAM;Midnight Black, Mist Purple, Ocean Blue, Lime Green;24117RN76G, 24117RN76O;$ 175.70 / € 130.98 / £ 129.99;N/A;1.00 W/kg (head)     0.97 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G99 Ultra (6 nm);Mali-G57 MC2;Android 14, up to 4 major Android upgrades, HyperOS;N/A;"20 MP, f/2.2, (wide), 1/4.0"", 0.7µm";1080p@30fps;N/A;Yes;Yes, with stereo speakers (with Dolby Atmos);N/A;Active use score 12:47h;N/A;N/A;N/A;-24.8 LUFS (Very good);N/A
18;Xiaomi;Xiaomi Redmi Note 14 Pro 4G;https://www.gsmarena.com/xiaomi_redmi_note_14_pro_4g_(global)-13614.php;N/A;N/A;45W wired;5500 mAh;IP64 dust tight and water resistant (water splashes);Glass front (Gorilla Glass Victus 2), plastic back, aluminum frame;162.2 x 74.9 x 8.2 mm (6.39 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.3, A2DP, LE;Yes;Yes (market/region dependent);GPS, GALILEO, GLONASS, QZSS, BDS;FM radio;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass Victus 2;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.4% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 1920Hz PWM, 1200 nits (HBM), 1800 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, proximity, gyro, compass;2025, January 10;Available. Released 2025, January 16;N/A;LED flash, HDR, panorama;N/A;N/A;"200 MP, f/1.7, 23mm (wide), 1/1.4"", 0.56µm, multi-directional PDAF, OIS
8 MP, f/2.2, 15mm, 120˚ (ultrawide), 1/4.4"", 1.0µm
2 MP, f/2.4, (macro)";1080p@30/60fps, gyro-EIS;UFS 2.2;microSDXC (uses shared SIM slot);128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Midnight Black, Aurora Purple, Ocean Blue;24116RACCG;$ 266.00 / € 206.00 / £ 219.00;N/A;0.80 W/kg (head)     0.98 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 20, 26, 28, 38, 40, 41, 66;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Helio G100 Ultra (6 nm);Mali-G57 MC2;Android 14, HyperOS;N/A;32 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers (with Dolby Atmos);N/A;Active use score 12:07h;N/A;N/A;1500 nits max brightness (measured);-27.5 LUFS (Good);"AnTuTu: 423868 (v10)
GeekBench: 1999 (v6)
3DMark: 347 (Wild Life Extreme)"
19;Xiaomi;Xiaomi Redmi Note 9;https://www.gsmarena.com/xiaomi_redmi_note_9-10192.php;N/A;N/A;"18W wired
9W reverse wired";Li-Po 5020 mAh;Water-repellent coating;Glass front (Gorilla Glass 5), plastic frame, plastic back;162.3 x 77.2 x 8.9 mm (6.39 x 3.04 x 0.35 in);Nano-SIM + Nano-SIM;199 g (7.02 oz);5.0, A2DP, LE;Yes;"Yes (market/region dependent)M2003J15SG (Yes); M2003J15SS (No)";GPS, GLONASS, GALILEO, BDS;FM radio, built-in antenna;USB Type-C 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2340 pixels, 19.5:9 ratio (~395 ppi density);6.53 inches, 104.7 cm2 (~83.5% screen-to-body ratio);IPS LCD, 450 nits (typ);N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2020, April 30;Available. Released 2020, May 12;N/A;LED flash, HDR, panorama;"48 MP, f/1.8, 26mm (wide), 1/2.0"", 0.8µm, PDAF
8 MP, f/2.2, 118˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro), AF
2 MP, f/2.4, (depth)";N/A;N/A;1080p@30fps;N/A;microSDXC (dedicated slot);64GB 3GB RAM, 64GB 4GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Forest Green, Midnight Grey, Polar White;M2003J15SC, M2003J15SG, M2003J15SS;$ 79.99 / € 90.19 / £ 119.00;0.84 W/kg (head)     0.90 W/kg (body);0.80 W/kg (head)     1.14 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769Z Helio G85 (12 nm);Mali-G52 MC2;Android 10, upgradable to Android 11, MIUI 12.5 E;HDR, panorama;"13 MP, f/2.3, 29mm (standard), 1/3.1"", 1.12µm";1080p@30fps;N/A;Yes;Yes;N/A;N/A;Endurance rating 125h;Photo / Video;1242:1 contrast ratio, 370 nits max brightness (measured);-30.1 LUFS (Below average);"AnTuTu: 200414 (v8)
GeekBench: 1292 (v5.1)"
20;Xiaomi;Xiaomi Redmi 12C;https://www.gsmarena.com/xiaomi_redmi_12c-12051.php;N/A;N/A;10W wired;Li-Po 5000 mAh;N/A;N/A;168.8 x 76.4 x 8.8 mm (6.65 x 3.01 x 0.35 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.1, A2DP, LE;N/A;Yes (market/region dependent);GPS, GLONASS, BDS, GALILEO;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1650 pixels (~268 ppi density);6.71 inches, 106.5 cm2 (~82.6% screen-to-body ratio);IPS LCD, 500 nits (typ);Virtual proximity sensing;Fingerprint (rear-mounted), accelerometer;2022, December 31;Available. Released 2023, January 01;N/A;LED flash, HDR;N/A;"50 MP, f/1.8, (wide), 1/2.76"", PDAF
0.08 MP (auxiliary lens)";N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);32GB 2GB RAM, 32GB 3GB RAM, 32GB 4GB RAM, 64GB 3GB RAM, 64GB 4GB RAM, 128GB 3GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Graphite Gray, Ocean Blue, Mint Green, Lavender Purple;22120RN86G, 22120RN86I, 22126RN91Y, 2212ARNC4L;€ 77.78 / £ 59.00;1.08 W/kg (head)     0.64 W/kg (body);0.98 W/kg (head)     0.99 W/kg (body);1, 3, 5, 8, 34, 38, 39, 40, 41 - China;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - International;N/A;HSPA, LTE;GSM / CDMA / HSPA / EVDO / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769Z Helio G85 (12 nm);Mali-G52 MC2;Android 12, MIUI 13;N/A;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
