No;Brand;Device Name;Product URL;Estimated_Price;Popularity_Fans;Battery_Charging;Battery_Type;Body_;Body_Build;Body_Dimensions;Body_SIM;Body_Weight;Comms_Bluetooth;Comms_Infraredport;Comms_NFC;Comms_Positioning;Comms_Radio;Comms_USB;Comms_WLAN;Display_;Display_Protection;Display_Resolution;Display_Size;Display_Type;Features_;Features_Sensors;Launch_Announced;Launch_Status;MainCamera_Dual;MainCamera_Features;MainCamera_Quad;MainCamera_Single;MainCamera_Triple;MainCamera_Video;Memory_;Memory_Cardslot;Memory_Internal;Misc_Colors;Misc_Models;Misc_Price;Misc_SAR;Network_;Network_2Gbands;Network_3Gbands;Network_4Gbands;Network_5Gbands;Network_Speed;Network_Technology;Platform_CPU;Platform_Chipset;Platform_GPU;Platform_OS;Selfiecamera_Features;Selfiecamera_Single;Selfiecamera_Video;Sound_;Sound_35mmjack;Sound_Loudspeaker;Tests_Audioquality;Tests_Batterynew;Tests_Batteryold;Tests_Camera;Tests_Display;Tests_Loudspeaker;Tests_Performance
11;Oppo;Oppo A18;https://www.gsmarena.com/oppo_a18-12591.php;N/A;N/A;N/A;Li-Po 5000 mAh;IP54 dust protected and water resistant (water splashes);N/A;163.7 x 75 x 8.2 mm (6.44 x 2.95 x 0.32 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);5.3, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.2% screen-to-body ratio);IPS LCD, 90Hz, 720 nits (peak);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2023, September 27;Available. Released 2023, October 05;"8 MP, f/2.0, (wide), AF
2 MP, f/2.4, (depth)";LED flash, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;64GB 4GB RAM, 128GB 4GB RAM;Glowing Black, Glowing Blue;CPH2591;₹ 11,100;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769 Helio G85 (12 nm);Mali-G52 MC2;Android 13, upgradable to Android 15, ColorOS 15;Panorama;5 MP, f/2.2, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
12;Oppo;Oppo Reno13 F;https://www.gsmarena.com/oppo_reno13_f-13607.php;N/A;N/A;"45W wired, PD, QC, PPS, 44% in 30 min
Reverse wired";5800 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 2m for 30 min)";N/A;162.2 x 75.1 x 7.8 mm (6.39 x 2.96 x 0.31 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.1, A2DP, LE, aptX HD;N/A;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Asahi Glass AGC DT-Star2;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~88.2% screen-to-body ratio);AMOLED, 120Hz, 600 nits (typ), 1200 nits (HMB), 2100 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity;2025, January 04;Available. Released 2025, January 11;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120fps, gyro-EIS, OIS;UFS 3.1;microSDXC;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM, 512GB 12GB RAM;Graphite Grey, Plume Purple, Luminous Blue;CPH2699;$ 455.00 / £ 345.00;N/A;1, 3, 5, 8, 40 SA/NSA - version 4;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100 - version 1, 2, 3;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 32, 38, 39, 40, 41, 66 - version 1;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 66, 77, 78 SA/NSA - version 1, 2;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 15, ColorOS 15;Panorama;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";1080p@30fps;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
13;Oppo;Oppo F11;https://www.gsmarena.com/oppo_f11-9617.php;N/A;N/A;20W wired;Li-Po 4020 mAh, non-removable;N/A;Glass front, plastic back, plastic frame;162 x 76.1 x 8.3 mm (6.38 x 3.00 x 0.33 in);Nano-SIM + Nano-SIM;188 g (6.63 oz);4.2, A2DP, LE;N/A;No;GPS, GLONASS, BDS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;1080 x 2340 pixels, 19.5:9 ratio (~394 ppi density);6.53 inches, 105.2 cm2 (~85.3% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, proximity, compass;2019, March. Released 2019, May;Discontinued;"48 MP, f/1.8, (wide), 1/2.0"", 0.8µm, PDAF
5 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC (uses shared SIM slot);64GB 4GB RAM, 64GB 6GB RAM, 128GB 4GB RAM, 128GB 6GB RAM;Flourite Purple, Marble Green, Jewelry White;CPH1913, CPH1911;About 250 EUR;N/A;1, 3, 5, 8, 38, 40, 41 - V3;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 20, 28, 38, 40, 41 - V1;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat7 300/50 Mbps;GSM / HSPA / LTE;Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mediatek MT6771 Helio P70 (12 nm);Mali-G72 MP3;Android 9.0 (Pie), ColorOS 6;HDR;"16 MP, f/2.0, 26mm (wide), 1/3.06"", 1.0µm";1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
14;Oppo;Oppo A57;https://www.gsmarena.com/oppo_a57-11476.php;N/A;N/A;10W wired;Li-Po 5000 mAh;N/A;Glass front, plastic frame, plastic back;163.8 x 75.1 x 8 mm (6.45 x 2.96 x 0.31 in);Nano-SIM + Nano-SIM;186 g (6.56 oz);5.2, A2DP, LE, aptX HD;N/A;No;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;N/A;720 x 1612 pixels, 20:9 ratio (~269 ppi density);6.56 inches, 103.4 cm2 (~84.0% screen-to-body ratio);IPS LCD, 90Hz, 480 nits (typ), 600 nits (HBM);N/A;Fingerprint (side-mounted), accelerometer, gyro, proximity, compass;2022, April 14;Available. Released 2022, April 15;"13 MP, f/2.2, 26mm (wide), 1/3.06"", 1.12µm, AF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;"UFS 2.1 (128GB/8GB)
UFS 2.2 (128GB/6GB)";microSDXC;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Black, Blue, Lilac;PFTM20;About 200 EUR;N/A;CDMA2000 1x;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1900 / 2100;1, 3, 5, 7, 8, 28, 34, 38, 39, 40, 41;1, 5, 8, 28, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / CDMA / HSPA / CDMA2000 / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 810 (6 nm);Mali-G57 MC2;Android 12, ColorOS 12.1;N/A;8 MP, f/2.0, 26mm (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;761 nits max brightness (measured);N/A;N/A
15;Oppo;Oppo F29;https://www.gsmarena.com/oppo_f29-13722.php;N/A;N/A;45W wired, PD, 30% in 21 min;Si/C Li-Ion 6500 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass 7i), fiber fabric back or fiberglass back;161.6 x 74.5 x 7.7 mm (6.36 x 2.93 x 0.30 in);Nano-SIM + Nano-SIM;185 g or 189 g (6.53 oz);5.1, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;Corning Gorilla Glass 7i;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.7% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 20;Available. Released 2025, March 27;"50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF
2 MP, f/2.4, (depth)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/120fps, gyro-EIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM;Deep Purple, Glacier Blue;N/A;₹ 23,999;1.12 W/kg (head)     0.89 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.2 GHz Cortex-A78 & 4x1.8 GHz Cortex-A55);Qualcomm SM6450 Snapdragon 6 Gen 1 (4 nm);Adreno 710;Android 15, ColorOS 15;N/A;16 MP, f/2.4, (wide);1080p@30fps;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
16;Oppo;Oppo A58 4G;https://www.gsmarena.com/oppo_a58_4g-12436.php;N/A;N/A;33W wired, 56% in 30 min;Li-Po 5000 mAh;N/A;Glass front, plastic frame, plastic back;165.7 x 76 x 8 mm (6.52 x 2.99 x 0.31 in);Nano-SIM + Nano-SIM;192 g (6.77 oz);5.3, A2DP, LE, aptX HD;Yes;Yes;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;1080 x 2400 pixels, 20:9 ratio (~392 ppi density);6.72 inches, 109.0 cm2 (~86.6% screen-to-body ratio);IPS LCD, 550 nits (typ), 680 nits (HBM);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2023, July 26;Available. Released 2023, July 28;"50 MP, f/1.8, (wide), AF
2 MP, f/2.4, (depth)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;eMMC 5.1;microSDXC;128GB 6GB RAM, 128GB 8GB RAM, 256GB 8GB RAM;Glowing Black, Dazzling Green;CPH2577;About 150 EUR;N/A;N/A;GSM 900 / 1800;HSDPA 900 / 2100;1, 3, 5, 8, 40;N/A;HSPA, LTE;GSM / HSPA / LTE;Octa-core (2x2.0 GHz Cortex-A75 & 6x1.8 GHz Cortex-A55);Mediatek MT6769 Helio G85 (12 nm);Mali-G52 MC2;Android 13, upgradable to Android 15, ColorOS 15;Panorama;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
17;Oppo;Oppo Reno11 F;https://www.gsmarena.com/oppo_reno11_f-12797.php;N/A;N/A;"67W wired, PD2.0, QC3, 100% in 48 min
Reverse wired";5000 mAh;IP65 dust tight and water resistant (low pressure water jets);N/A;161.1 x 74.7 x 7.5 mm (6.34 x 2.94 x 0.30 in);Nano-SIM + Nano-SIM;177 g (6.24 oz);5.2, A2DP, LE, aptX HD, LHDC;N/A;Yes;GPS, GLONASS, GALILEO, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Panda glass;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.8% screen-to-body ratio);AMOLED, 1B colors, 120Hz, HDR10+, 500 nits (typ), 900 nits (HBM), 1100 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, February 08;Available. Released 2024, February 08;N/A;LED flash, HDR, panorama;N/A;N/A;"64 MP, f/1.7, 25mm (wide), 1/2.0"", 0.7µm, PDAF
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";4K@30fps, 1080p@30/60/120/480fps, gyro-EIS;UFS 3.1;microSDXC;256GB 8GB RAM;Palm Green, Ocean Blue, Coral Purple;CPH2603;$ 619.00 / £ 415.00;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 20, 26, 28, 66, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.6 GHz Cortex-A78 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 7050 (6 nm);Mali-G68 MC4;Android 14, upgradable to Android 15, ColorOS 15;Panorama;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";4K@30fps, 1080p@30fps, gyro-EIS;N/A;No;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
18;Oppo;Oppo F7;https://www.gsmarena.com/oppo_f7-9121.php;N/A;N/A;N/A;Li-Ion 3400 mAh, non-removable;N/A;Glass front (Gorilla Glass 5), plastic back, plastic frame;156 x 75.3 x 7.8 mm (6.14 x 2.96 x 0.31 in);Nano-SIM + Nano-SIM;158 g (5.57 oz);4.2, A2DP, LE;N/A;No;GPS;FM radio;microUSB 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct;N/A;Corning Gorilla Glass 5;1080 x 2280 pixels, 19:9 ratio (~405 ppi density);6.23 inches, 96.9 cm2 (~82.5% screen-to-body ratio);IPS LCD;N/A;Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass;2018, March. Released 2018, April;Discontinued;N/A;LED flash, HDR, panorama;N/A;16 MP, f/1.8, PDAF;N/A;1080p@30fps;eMMC 5.1;microSDXC (dedicated slot);64GB 4GB RAM, 128GB 6GB RAM;Solar Red, Diamond Black, Moonlight Silver;CPH1819, CPH1821, 1821, CPH1821EX;About 270 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 850 / 900 / 2100;1, 3, 5, 8, 38, 40, 41;N/A;HSPA 42.2/5.76 Mbps, LTE (2CA) Cat13 600/100 Mbps;GSM / HSPA / LTE;Octa-core (4x2.0 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53);Mediatek MT6771 Helio P60 (12 nm);Mali-G72 MP3;Android 8.1 (Oreo), ColorOS 5;N/A;"25 MP, f/2.0, 1/2.8"", 0.9µm";1080p@30fps;N/A;Yes;Yes;Noise -92.5dB / Crosstalk -91.2dB;N/A;Endurance rating 91h;Photo / Video;Contrast ratio: 1956:1 (nominal), 3.333 (sunlight);Voice 68dB / Noise 73dB / Ring 84dB;"AnTuTu: 139414 (v7)
GeekBench: 5901 (v4.4)
GFXBench: 6.7fps (ES 3.1 onscreen)"
19;Oppo;Oppo A37;https://www.gsmarena.com/oppo_a37-8162.php;N/A;N/A;N/A;Li-Ion 2630 mAh, non-removable;N/A;Glass front (Gorilla Glass 4), aluminum back, aluminum frame;143.1 x 71 x 7.7 mm (5.63 x 2.80 x 0.30 in);Nano-SIM + Nano-SIM;136 g (4.80 oz);4.0, A2DP;N/A;No;GPS;FM radio;microUSB 2.0;Wi-Fi 802.11 a/b/g/n, hotspot;N/A;Corning Gorilla Glass 4;720 x 1280 pixels, 16:9 ratio (~294 ppi density);5.0 inches, 68.9 cm2 (~67.8% screen-to-body ratio);IPS LCD;N/A;Accelerometer, proximity, compass;2016, June 20. Released 2016, June;Discontinued;N/A;LED flash, panorama;N/A;"8 MP, f/2.0, 1/3.2"", 1.4µm, AF";N/A;1080p@30fps;eMMC 4.5;microSDXC (dedicated slot);16GB 2GB RAM;Gold, Rose Gold;A37f, A37fw, A37m;About 220 EUR;N/A;N/A;GSM 850 / 900 / 1800 / 1900 - SIM 1 & SIM 2;HSDPA 850 / 900 / 2100;1, 3, 5, 7, 8, 41;N/A;HSPA, LTE;GSM / HSPA / LTE;Quad-core 1.2 GHz Cortex-A53;Qualcomm MSM8916 Snapdragon 410 (28 nm);Adreno 306;Android 5.1 (Lollipop), ColorOS 3;N/A;"5 MP, f/2.4, 1/4.0""";;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
20;Oppo;Oppo F29 Pro;https://www.gsmarena.com/oppo_f29_pro-13720.php;N/A;N/A;80W wired, PD, 45% in 20 min;Si/C Li-Ion 6000 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";Glass front (Gorilla Glass Victus 2), fiber fabric back;161.5 x 74.9 x 7.6 mm (6.36 x 2.95 x 0.30 in);Nano-SIM + Nano-SIM;180 g (6.35 oz);5.4, A2DP, LE, aptX HD;Yes;No;GPS, GALILEO, GLONASS, BDS, QZSS;No;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Corning Gorilla Glass Victus 2;1080 x 2412 pixels, 20:9 ratio (~394 ppi density);6.7 inches, 108.0 cm2 (~89.3% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HBM);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2025, March 20;Available. Released 2025, April 01;"50 MP, f/1.8, 27mm (wide), 1/2.88"", PDAF, OIS
2 MP, f/2.4, (depth)";Color spectrum sensor, LED flash, HDR, panorama;N/A;N/A;N/A;4K@30fps, 1080p@30/60/120/480fps, 720p@960fps, gyro-EIS, OIS;UFS 3.1;No;128GB 8GB RAM, 256GB 8GB RAM, 256GB 12GB RAM;Marble White, Granite Black;CPH2705;₹ 27,999;1.00 W/kg (head)     0.77 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (4x2.5 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55);Mediatek Dimensity 7300 Energy (4 nm);Mali-G615 MC2;Android 15, ColorOS 15;N/A;16 MP, f/2.4, (wide);1080p@30fps, gyro-EIS;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
21;Oppo;Oppo Reno12 F;https://www.gsmarena.com/oppo_reno12_f-13182.php;N/A;N/A;"45W wired, PD2.0
Reverse wired";5000 mAh;IP64 dust tight and water resistant (water splashes);N/A;163.1 x 75.8 x 7.8 mm (6.42 x 2.98 x 0.31 in);Nano-SIM + Nano-SIM;187 g (6.60 oz);5.3, A2DP, LE, aptX;Yes;Yes (market/region dependent);GPS, GLONASS, GALILEO, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac/6, dual-band;N/A;Asahi Glass AGC DT-Star2;1080 x 2400 pixels, 20:9 ratio (~395 ppi density);6.67 inches, 107.4 cm2 (~86.9% screen-to-body ratio);AMOLED, 1B colors, 120Hz, 600 nits (typ), 1200 nits (HMB), 2100 nits (peak);N/A;Fingerprint (under display, optical), accelerometer, gyro, proximity, compass;2024, June 28;Available. Released 2024, July;N/A;LED flash, HDR, panorama;N/A;N/A;"50 MP, f/1.8, 26mm (wide), PDAF, OIS
8 MP, f/2.2, 16mm, 112˚ (ultrawide), 1/4.0"", 1.12µm
2 MP, f/2.4, (macro)";1080p@30/60fps, gyro-EIS;UFS 2.2;microSDXC;256GB 8GB RAM, 256GB 12GB RAM, 512GB 8GB RAM, 512GB 12GB RAM;Olive Green, Amber Orange;CPH2637;$ 332.76 / € 169.00 / £ 248.98;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 2, 3, 4, 5, 7, 8, 12, 13, 17, 18, 19, 20, 26, 28, 38, 39, 40, 41, 66;1, 2, 3, 5, 7, 8, 12, 20, 26, 28, 38, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 14, upgradable to Android 15, ColorOS 15;Panorama;"32 MP, f/2.4, 22mm (wide), 1/2.74"", 0.8µm";1080p@30fps;N/A;No;Yes, with stereo speakers;N/A;N/A;N/A;N/A;N/A;N/A;N/A
22;Oppo;Oppo Find X8 Ultra;https://www.gsmarena.com/oppo_find_x8_ultra-13753.php;N/A;N/A;"100W wired, 18W PD, 18W QC, 55W PPS
50W wireless
10W reverse wireless";Si/C Li-Ion 6100 mAh;"IP68/IP69 dust tight and water resistant (high pressure water jets; immersible up to 1.5m for 30 min)";N/A;163.1 x 76.8 x 8.8 mm (6.42 x 3.02 x 0.35 in);Nano-SIM + Nano-SIM;226 g (7.97 oz);5.4, A2DP, LE, aptX HD, LHDC 5;Yes;Yes;GPS (L1+L5), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), GLONASS;No;USB Type-C 3.2, OTG;Wi-Fi 802.11 a/b/g/n/ac/6/7, dual-band, Wi-Fi Direct;Ultra HDR image support;Corning Gorilla Glass (unspecified version);1440 x 3168 pixels (~510 ppi density);6.82 inches, 113.0 cm2 (~90.2% screen-to-body ratio);LTPO AMOLED, 1B colors, 120Hz, 2160Hz PWM, Dolby Vision, HDR Vivid, HDR10+, 800 nits (typ), 1600 nits (HBM), 2500 nits (peak);Emergency SOS via satellite (messages and calls) - available in Oppo Find X8 Ultra Satellite version;Fingerprint (under display, ultrasonic), accelerometer, gyro, proximity, compass;2025, April 10;Available. Released 2025, April 16;N/A;Laser AF, color spectrum sensor, Hasselblad Color Calibration, LED flash, HDR, panorama;"50 MP, f/1.8, 23mm (wide), 1.0""-type, 1.6µm, dual pixel PDAF, OIS
50 MP, f/2.1, 70mm (periscope telephoto), 1/1.56"", 1.0µm, 3x optical zoom, multi-directional PDAF (10cm - ∞), OIS
50 MP, f/3.1, 135mm (periscope telephoto), 1/1/.95"", 0.8µm, 6x optical zoom, dual pixel PDAF (35cm - ∞), OIS
50 MP, f/2.0, 15mm, 120˚ (ultrawide), 1/2.75"", 0.64µm, PDAF";N/A;N/A;"4K@30/60/120fps, 1080p@30/60/120/240fps; gyro-EIS; HDR, 10‑bit video, Dolby Vision";UFS 4.1;No;256GB 12GB RAM, 512GB 16GB RAM, 1TB 16GB RAM;Matte Black, Pure White, Shell Pink;PKJ110, PKU110;N/A;N/A;N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 800 / 850 / 900 / 1700(AWS) / 1900 / 2100;1, 3, 4, 5, 7, 8, 18, 19, 20, 26, 28, 34, 38, 39, 40, 41, 42, 48, 66;1, 3, 5, 7, 8, 20, 28, 38, 40, 41, 66, 77, 78, 79, 80, 81, 83, 84 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x4.32 GHz Oryon V2 Phoenix L + 6x3.53 GHz Oryon V2 Phoenix M);Qualcomm SM8750-AB Snapdragon 8 Elite (3 nm);Adreno 830;Android 15, ColorOS 15;Panorama, HDR;"32 MP, f/2.4, 21mm (wide), 1/2.74"", 0.8µm, PDAF";4K@30/60fps, 1080p@30/60fps, gyro-EIS;N/A;No;Yes, with stereo speakers;N/A;Active use score 16:20h;N/A;N/A;1157 nits max brightness (measured);-26.3 LUFS (Good);"AnTuTu: 2710432 (v10)
GeekBench: 9503 (v6)
3DMark: 6644 (Wild Life Extreme)"
23;Oppo;Oppo K13x;https://www.gsmarena.com/oppo_k13x_5g-13978.php;N/A;N/A;45W wired, 33W PPS, 13.5W PD, 50% in 37 min;6000 mAh;"IP65 dust tight and water resistant (low pressure water jets)
MIL-STD-810H compliant*
* does not guarantee ruggedness or use in extreme conditions";N/A;165.7 x 76.2 x 7.9 mm (6.52 x 3.00 x 0.31 in);Nano-SIM + Nano-SIM;194 g (6.84 oz);5.4, A2DP, LE, aptX HD;N/A;No;GPS, GALILEO, GLONASS, BDS, QZSS;Unspecified;USB Type-C 2.0, OTG;Wi-Fi 802.11 a/b/g/n/ac, dual-band;N/A;N/A;720 x 1604 pixels, 20:9 ratio (~264 ppi density);6.67 inches, 107.2 cm2 (~84.9% screen-to-body ratio);IPS LCD, 120Hz, 850 nits (typ), 1000 nits (HBM);N/A;Fingerprint (side-mounted), accelerometer, proximity, compass;2025, June 23;Available. Released 2025, June 27;"50 MP, f/1.8, (wide), PDAF
2 MP, f/2.4, (wide)";LED flash, HDR, panorama;N/A;N/A;N/A;1080p@30fps;UFS 2.2;microSDXC;128GB 4GB RAM, 128GB 6GB RAM, 128GB 8GB RAM;Sunset Peach, Midnight Violet;CPH2753;About 120 EUR;1.18 W/kg (head)     1.05 W/kg (body);N/A;GSM 850 / 900 / 1800 / 1900;HSDPA 900 / 2100;1, 3, 5, 8, 28, 40, 41;1, 3, 5, 8, 28, 40, 41, 77, 78 SA/NSA;HSPA, LTE, 5G;GSM / HSPA / LTE / 5G;Octa-core (2x2.4 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55);Mediatek Dimensity 6300 (6 nm);Mali-G57 MC2;Android 15, ColorOS 15;Panorama;8 MP, f/2.0, (wide);1080p@30fps;N/A;Yes;Yes;N/A;N/A;N/A;N/A;N/A;N/A;N/A
